Basin,Obs_Annual_mm,Mean_Range_mm,Max_Range_mm,Max_Range_Month,Spread_CV_pct
N.R.S.W,445.0,10.51,45.17,Dec,3.0
S.R.S.W,349.2,7.24,25.15,Dec,2.2
YARMOUK (JORDAN),303.4,10.28,42.53,Dec,4.2
JORDAN VALLY (JORDAN),276.6,9.95,43.44,Dec,4.4
D.S.R.S.W,254.8,6.01,16.37,Dec,3.3
AMMAN ZARQA (JORDAN),222.1,5.94,16.67,Dec,3.1
W. ARABA NORTH,185.4,5.94,20.52,Mar,5.0
MUJIB,172.3,5.81,13.75,Mar,5.6
HASA,162.7,6.82,22.68,Mar,5.5
JAFER,77.0,4.66,14.9,Mar,10.2
HAMMAD,67.5,5.21,14.41,Nov,17.5
AZRAQ (JORDAN),52.2,4.47,15.11,Mar,17.0
